1.190722510218620300e-01,1.497558593750000000e+00,-1.730902314186096191e+00,8.722993731498718262e-02
2.337631769478321075e-02,1.544076800346374512e+00,-1.696824193000793457e+00,9.468910098075866699e-02
-8.429818600416183472e-02,1.589154481887817383e+00,-1.645461320877075195e+00,1.012168526649475098e-01
-1.739325523376464844e-01,1.624901056289672852e+00,-1.593072175979614258e+00,1.045057177543640137e-01
-2.555602192878723145e-01,1.658680319786071777e+00,-1.538280844688415527e+00,1.061980724334716797e-01
-3.823679685592651367e-01,1.711434006690979004e+00,-1.434458732604980469e+00,1.080572903156280518e-01
-5.149913430213928223e-01,1.750186324119567871e+00,-1.281134724617004395e+00,1.140207946300506592e-01
-5.683386921882629395e-01,1.753417372703552246e+00,-1.194405794143676758e+00,1.195666193962097168e-01
-6.200674772262573242e-01,1.745044112205505371e+00,-1.087859392166137695e+00,1.261711418628692627e-01
-6.804760098457336426e-01,1.719829797744750977e+00,-9.410011768341064453e-01,1.354154348373413086e-01
-7.254932522773742676e-01,1.674037456512451172e+00,-7.678784132003784180e-01,1.495680212974548340e-01
-7.370466589927673340e-01,1.650508761405944824e+00,-7.114994525909423828e-01,1.559756994247436523e-01
-7.499026060104370117e-01,1.613019347190856934e+00,-6.277081966400146484e-01,1.651735603809356689e-01
-7.672707438468933105e-01,1.555143475532531738e+00,-5.109946727752685547e-01,1.770373284816741943e-01
-8.012110590934753418e-01,1.468671202659606934e+00,-3.599186241626739502e-01,1.906842291355133057e-01
-8.436312079429626465e-01,1.376731157302856445e+00,-2.056164741516113281e-01,2.023729979991912842e-01
-8.850998878479003906e-01,1.301098704338073730e+00,-8.199162781238555908e-02,2.090513110160827637e-01
-9.337078928947448730e-01,1.235106587409973145e+00,2.115793526172637939e-02,2.127953767776489258e-01
-9.804363250732421875e-01,1.181614160537719727e+00,9.935929626226425171e-02,2.162241637706756592e-01
-1.048502802848815918e+00,1.111712813377380371e+00,1.906273066997528076e-01,2.214706540107727051e-01
-1.118738889694213867e+00,1.045888662338256836e+00,2.729585468769073486e-01,2.293029427528381348e-01
-1.195901870727539062e+00,9.689769148826599121e-01,3.619625568389892578e-01,2.371554076671600342e-01
-1.280359864234924316e+00,8.850845694541931152e-01,4.542827904224395752e-01,2.453472912311553955e-01
-1.400403261184692383e+00,7.678024172782897949e-01,5.806044340133666992e-01,2.570822536945343018e-01
-1.519264221191406250e+00,6.466811299324035645e-01,6.975581645965576172e-01,2.669206261634826660e-01
-1.641947031021118164e+00,5.145921111106872559e-01,8.090113401412963867e-01,2.754434347152709961e-01
-1.729264616966247559e+00,4.038180112838745117e-01,8.870733976364135742e-01,2.823823094367980957e-01
-1.813744902610778809e+00,2.737827301025390625e-01,9.646751284599304199e-01,2.912498414516448975e-01
-1.894896507263183594e+00,1.192551553249359131e-01,1.031924724578857422e+00,3.010666966438293457e-01
